NO,게임명,제목/내용,이슈 판단,검수 - 피드백,label,text
1,FM,"제목: 결제실패
내용: 갤럭시24울트라 사용중인데 상품결제하면 결제실패라고 뜨고 실제 결제는 이루어져서 상품을 받으려면 계속 재시작해야 합니다. ",O,"결제 실패 오류에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 결제실패 내용: 갤럭시24울트라 사용중인데 상품결제하면 결제실패라고 뜨고 실제 결제는 이루어져서 상품을 받으려면 계속 재시작해야 합니다. 
2,FM,"제목: 백뷰 노출 설정 꺼꾸로 되있는 거 아님?
내용: '네' 하면 안나오고

'아니오' 하면 나오는데요??",O,"설정이 잘못된 현상으로 콘텐츠 진행 불가에 해당합니다.
이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달
3건 이상 발생 시 유선 전달 입니다. ",issue,제목: 백뷰 노출 설정 꺼꾸로 되있는 거 아님? 내용: '네' 하면 안나오고 '아니오' 하면 나오는데요??
3,FM,"제목: 5-5 탐색 어떻게 깨나요??
내용: 5-5 탐색에서 모든 상호작용되는 건 다 눌러봤는데 진행이 안되네요ㅠㅠ

스토리 넘어가지를 못하고 있어요

도와주세요오",O,"콘텐츠 불가 오류가 발생한 사항으로,
이슈 판단 잘 해주셨습니다.
1건 발생 시 즉시 전달
3건 이상 시 유선 전달 해주시면 됩니다.",issue,제목: 5-5 탐색 어떻게 깨나요?? 내용: 5-5 탐색에서 모든 상호작용되는 건 다 눌러봤는데 진행이 안되네요ㅠㅠ 스토리 넘어가지를 못하고 있어요 도와주세요오
4,FM,"제목: 5-5 스테이지가 버그인가요 안깨지네요
내용: ㅠㅜ 도와주세요",O,"콘텐츠 불가 오류가 발생한 사항으로,
이슈 판단 잘 해주셨습니다.
1건 발생 시 즉시 전달
3건 이상 시 유선 전달 해주시면 됩니다.",issue,제목: 5-5 스테이지가 버그인가요 안깨지네요 내용: ㅠㅜ 도와주세요
5,FM,"제목: 어제부터 왜 게스트가 됐다 안됐다 하나요..ㅜㅜ
내용: 아니 왜 어제부터 게스트가 됐다 안됐다함...서버 관리 좀 해주세요..",O,"접속 불가 현상에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달 및 접속 테스트
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 어제부터 왜 게스트가 됐다 안됐다 하나요..ㅜㅜ 내용: 아니 왜 어제부터 게스트가 됐다 안됐다함...서버 관리 좀 해주세요..
6,FM,"제목: 현재 게임도 설치도 안되고 게스트 로그인도 여러번 시도해야지 로그인 되고 난리네요
내용: 고쳐라!! 겜을 냈으면 고쳐라! 점검해라! 사료줘라!
에잉.. 낼 오픈하는 각성소녀나 하러 가야겠네..",O,"접속 불가 현상에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달 및 접속 테스트
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 현재 게임도 설치도 안되고 게스트 로그인도 여러번 시도해야지 로그인 되고 난리네요 내용: 고쳐라!! 겜을 냈으면 고쳐라! 점검해라! 사료줘라! 에잉.. 낼 오픈하는 각성소녀나 하러 가야겠네..
7,FM,"제목: 이게 확실하다
내용: 꼬봉남겨놓고 회식하다가 서버터지니 술먹다말고 회사로 복귀중

제목: 그니까 내가 머라그랬냐 현질하지 마라고했자나
내용: 말을 해줘도 안듣고 현질한사람 없지???
운영 이따구면 문닫는거 얼마안걸린다

제목: 설마
내용: 진심 지들 퇴근시간 맞춰서 연장마무리하고 바로 가려고
2시에서 6시로 한거야???
근데 능력딸리는 머저리들만 있어서 마무리 못하고
무기한 연장하는거고??
이래서 좃소기업은 안되는거야

제목: 운영이 영 이상하네
내용: 신경을 하나도 안쓰는 느낌

제목: 진심 궁금해서 그러는데 점검시간을 왜 2시로 잡은거임?
내용: 심지어 중섭은 새벽에 한다는데 왜죠? 왜? 왜 2시에 하는거죠? 왜지? 
자신있어서 퇴근시간에 딱 맞게 점검시간 잡은 거 아니였나요? 왜 연장이지? 왜죠?

제목: 솔직히 너무한거 같아요
내용: 연장점검이 될 정도면 무리해서 업데이트를 빠르게 진행하는거 같은데
점검완료 시간도 명확하지 않고 사과공지도 없고 
첫 점검부터 이러시면 신뢰하기가 어려워요.

제목: 영자님들아
내용: 진지하게 점검시간 고려해보셈 2시부터 점검한다는 거 보고 특이해도 그렇다니까 그냥 기다렸는데 
아무리 생각해봐도 오전에 하는게 낫지않을까 라는 생각을 함 지금 44분이나 미뤄지고 있는데 다음 업뎃에서도 
점검시간 2시부터 6시 ㅇㅈㄹ하면 진짜 정 떨어질 것 같아요",O,"불만 관련 동향에 해당하는 게시글로, 이슈 판단 잘해주셨습니다.
5건 이상 발생 시 텔레그램 이슈방에 전달해주시면 됩니다.",issue,제목: 이게 확실하다 내용: 꼬봉남겨놓고 회식하다가 서버터지니 술먹다말고 회사로 복귀중 제목: 그니까 내가 머라그랬냐 현질하지 마라고했자나 내용: 말을 해줘도 안듣고 현질한사람 없지??? 운영 이따구면 문닫는거 얼마안걸린다 제목: 설마 내용: 진심 지들 퇴근시간 맞춰서 연장마무리하고 바로 가려고 2시에서 6시로 한거야??? 근데 능력딸리는 머저리들만 있어서 마무리 못하고 무기한 연장하는거고?? 이래서 좃소기업은 안되는거야 제목: 운영이 영 이상하네 내용: 신경을 하나도 안쓰는 느낌 제목: 진심 궁금해서 그러는데 점검시간을 왜 2시로 잡은거임? 내용: 심지어 중섭은 새벽에 한다는데 왜죠? 왜? 왜 2시에 하는거죠? 왜지? 자신있어서 퇴근시간에 딱 맞게 점검시간 잡은 거 아니였나요? 왜 연장이지? 왜죠? 제목: 솔직히 너무한거 같아요 내용: 연장점검이 될 정도면 무리해서 업데이트를 빠르게 진행하는거 같은데 점검완료 시간도 명확하지 않고 사과공지도 없고 첫 점검부터 이러시면 신뢰하기가 어려워요. 제목: 영자님들아 내용: 진지하게 점검시간 고려해보셈 2시부터 점검한다는 거 보고 특이해도 그렇다니까 그냥 기다렸는데 아무리 생각해봐도 오전에 하는게 낫지않을까 라는 생각을 함 지금 44분이나 미뤄지고 있는데 다음 업뎃에서도 점검시간 2시부터 6시 ㅇㅈㄹ하면 진짜 정 떨어질 것 같아요
8,FM,"제목: ㅋㅋㅋㅋㅋ
내용: 이 씨발새끼들도 좆마블 따라하는거냐? 여기 회사 새끼들도 죄다 안경쓴 여드름 돼지새끼들만 있는거냐? 
능력도 안 되면서 뭘 씨발 점검시간을 이따위로 하는거냐?",O,"욕설이 포함된 불건전 게시글로, 이슈 판단 잘해주셨습니다.
게시글 삭제 진행해주시면 됩니다.",issue,제목: ㅋㅋㅋㅋㅋ 내용: 이 씨발새끼들도 좆마블 따라하는거냐? 여기 회사 새끼들도 죄다 안경쓴 여드름 돼지새끼들만 있는거냐? 능력도 안 되면서 뭘 씨발 점검시간을 이따위로 하는거냐?
9,FM,"제목: 이 집 장사 존나 못하네 ㅋㅋㅋㅋ
내용: 아니 일단 공지라도 좀 하라고 ㅋㅋㅋ 
아님 배짱이 존나 대단한건가?",O,"비속어가 포함된 게시글은 맞지만, 삭제 할 정도의 
비속어가 아니기에 삭제할 필요없습니다.

또한, 해당 게시글은 운영 실수로 인한 불만 게시글로 판단되어
먼저 텔레그램 이슈방에 물어보는 것이 좋습니다.",issue,제목: 이 집 장사 존나 못하네 ㅋㅋㅋㅋ 내용: 아니 일단 공지라도 좀 하라고 ㅋㅋㅋ 아님 배짱이 존나 대단한건가?
10,FM,"제목: 야
내용: 야이 씨발것들아 뭘 제대로 공지를 좀 쳐 하면서 연장점검을 쳐하던지 말던지해 씨발 존나 무책임하게 
저딴식으로 고쳐놓고 유저들 하염없이 기다리게만 할래? 니들이 인간이라면 최소한의 매너는 갖고 운영을 쳐 해 씨발것들아",O,"욕설이 포함된 불건전 게시글로, 이슈 판단 잘해주셨습니다.
게시글 삭제 진행해주시면 됩니다.",issue,제목: 야 내용: 야이 씨발것들아 뭘 제대로 공지를 좀 쳐 하면서 연장점검을 쳐하던지 말던지해 씨발 존나 무책임하게 저딴식으로 고쳐놓고 유저들 하염없이 기다리게만 할래? 니들이 인간이라면 최소한의 매너는 갖고 운영을 쳐 해 씨발것들아
